Percentage of Women,Percentage of Men,Percentage of Eldelry - 65 or more years ,Percentage of Youth - 15-24 years,Average family size - 1 to 3 members,Town,Average family size - 4 to 6 members,Average family size - 7 or more members ,District,family
50.0,50.0,10.0,60.0,0,Aain challal,1,0,Byblos_District,4-6
35.0,65.0,5.0,20.0,1,Aaita Ej-Jabal,0,0,Bint_Jbeil_District,1-3
60.0,40.0,20.0,35.0,0,Aaiyat,1,0,Akkar_Governorate,4-6
50.0,50.0,20.0,20.0,0,Aajaltoun,1,0,Keserwan_District,4-6
52.0,48.0,20.0,70.0,0,Aakkar El-Aatiqa,1,0,Akkar_Governorate,4-6
60.0,40.0,30.0,20.0,0,Aaley,1,0,Aley_District,4-6
50.0,50.0,30.0,30.0,0,Aaley Bsatine,1,0,Aley_District,4-6
45.0,55.0,35.0,40.0,0,Aali En-Nahri,1,0,Zahle_District,4-6
50.0,50.0,10.0,60.0,0,Aalma,1,0,Zgharta_District,4-6
48.0,52.0,10.0,10.0,0,Aalma Ech-Chaab,1,0,Tyre_District,4-6
60.0,40.0,12.0,10.0,0,Aalman,1,0,Marjeyoun_District,4-6
60.0,40.0,25.0,10.0,1,Aalmane Ech-Chouf,0,0,Mount_Lebanon_Governorate,1-3
60.0,40.0,20.0,15.0,0,Aamaret El-Baykat,1,0,Akkar_Governorate,4-6
45.0,55.0,9.0,35.0,0,Aamayer,1,0,Akkar_Governorate,4-6
52.0,48.0,15.0,27.0,0,Aamchit,1,0,Byblos_District,4-6
55.0,45.0,11.0,15.0,1,Aammatour,0,0,Mount_Lebanon_Governorate,1-3
40.0,40.0,10.0,20.0,0,Aammiq Ech-Chouf,1,0,Western_Beqaa_District,4-6
55.0,45.0,20.0,30.0,0,Aana,1,0,Western_Beqaa_District,4-6
50.0,50.0,0.0,0.0,0,Aandqet,1,0,Akkar_Governorate,4-6
53.0,47.0,15.0,35.0,0,Aanjar (Haouch Moussa),1,0,Zahle_District,4-6
60.0,40.0,20.0,15.0,1,Aanout,0,0,Mount_Lebanon_Governorate,1-3
55.0,45.0,5.0,35.0,0,Aanqoun,1,0,Sidon_District,4-6
60.0,40.0,30.0,35.0,0,Aaouaainat Aakkar,1,0,Akkar_Governorate,4-6
60.0,40.0,15.0,15.0,0,Aaqabet Rachaya,1,0,Beqaa_Governorate,4-6
60.0,40.0,15.0,25.0,0,Aaqaibeh Kesrouane,1,0,Keserwan_District,4-6
55.0,45.0,10.0,10.0,0,Aaqtanit,1,0,Sidon_District,4-6
45.0,55.0,15.0,30.0,0,Aarab Salim,1,0,Nabatieh_Governorate,4-6
40.0,35.0,10.0,20.0,0,Aarab Tabbaya,1,0,Sidon_District,4-6
60.0,40.0,10.0,15.0,0,Aaraiya,1,0,Baabda_District,4-6
55.0,45.0,25.0,40.0,0,Aaramoun Kesrouane,1,0,Aley_District,4-6
53.0,47.0,10.0,20.0,0,Aaramta,1,0,South_Governorate,4-6
50.0,50.0,10.0,10.0,0,Aaray,1,0,South_Governorate,4-6
55.0,40.0,10.0,15.0,0,Aarbet Qozhaiya,1,0,Zgharta_District,4-6
50.0,50.0,20.0,2.0,0,Aarjis,1,0,Zgharta_District,4-6
47.0,53.0,10.0,59.0,0,Aarqa,1,0,Akkar_Governorate,4-6
52.0,48.0,30.0,30.0,0,Aarsal,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,5.0,30.0,0,Aassoun,1,0,Miniyeha-Danniyeh_District,4-6
40.0,60.0,10.0,40.0,0,Aatchaneh,1,0,Matn_District,4-6
55.0,45.0,10.0,10.0,1,Aathrine,0,0,Mount_Lebanon_Governorate,1-3
65.0,35.0,25.0,40.0,1,Aayha,0,0,Beqaa_Governorate,1-3
40.0,60.0,5.0,35.0,0,Aaymar,1,0,Miniyeha-Danniyeh_District,4-6
57.0,43.0,25.0,25.0,0,Aaynata Baalbek,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,15.0,35.0,0,Aayoun Aakkar,1,0,Akkar_Governorate,4-6
60.0,40.0,7.0,40.0,0,Aayoun El-Ghizlane,1,0,Akkar_Governorate,4-6
60.0,40.0,40.0,45.0,0,Aayoun El-Matn,1,0,Matn_District,4-6
50.0,50.0,15.0,15.0,1,Aayroun,0,0,Matn_District,1-3
55.0,45.0,35.0,65.0,0,Aayta Ech-Chaab,1,0,Bint_Jbeil_District,4-6
50.0,50.0,20.0,50.0,0,Aayta El-Foukhar,1,0,Beqaa_Governorate,4-6
50.0,50.0,30.0,20.0,0,Aaytanit,1,0,Western_Beqaa_District,4-6
52.0,48.0,10.0,20.0,1,Aaytat,0,0,Aley_District,1-3
58.0,42.0,3.0,7.0,0,Aaytit,1,0,Tyre_District,4-6
50.0,50.0,15.0,25.0,0,Aazour,1,0,South_Governorate,4-6
40.0,60.0,5.0,30.0,0,Aazqai,1,0,Miniyeha-Danniyeh_District,4-6
55.0,45.0,15.0,9.0,0,Aazra ouel Aazr,1,0,Keserwan_District,4-6
45.0,55.0,10.0,25.0,0,Ablah,1,0,Zahle_District,4-6
60.0,40.0,10.0,15.0,0,Abou Qamha,1,0,Hasbaya_District,4-6
55.0,45.0,10.0,30.0,0,Afqa Jbeil,1,0,Byblos_District,4-6
55.0,45.0,35.0,65.0,0,Ain Aakrine,1,0,North_Governorate,4-6
56.0,44.0,29.0,33.0,0,Aintoura Kesrouane,1,0,Keserwan_District,4-6
55.0,45.0,10.0,20.0,0,Aintourine,1,0,Zgharta_District,4-6
52.0,48.0,10.0,20.0,0,Alaq,1,0,Baalbek-Hermel_Governorate,4-6
1.0,1.0,1.0,1.0,0,Almat,1,0,Byblos_District,4-6
55.0,45.0,10.0,20.0,0,Amara,1,0,Akkar_Governorate,4-6
60.0,40.0,10.0,15.0,0,Amioun,1,0,North_Governorate,4-6
0.0,0.0,20.0,20.0,0,Anane,1,0,South_Governorate,4-6
52.0,48.0,30.0,30.0,0,Ansar,1,0,Nabatieh_Governorate,4-6
60.0,40.0,5.0,35.0,0,Ansar Baalbeck,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,10.0,20.0,0,Arnoun,1,0,Nabatieh_Governorate,4-6
50.0,50.0,30.0,30.0,1,Arsoun,0,0,Baabda_District,1-3
25.0,25.0,15.0,30.0,0,Arzai,1,0,Sidon_District,4-6
60.0,40.0,15.0,35.0,0,Arzoun,1,0,Tyre_District,4-6
55.0,45.0,20.0,20.0,0,Asnoun,1,0,Zgharta_District,4-6
50.0,50.0,45.0,30.0,0,Assia,1,0,Batroun_District,4-6
51.0,49.0,45.0,26.0,0,Ayto,1,0,Zgharta_District,4-6
54.0,46.0,10.0,10.0,0,Baadarane,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,25.0,30.0,0,Baalbek,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,70.0,10.0,0,Baaloul West Bekaa,1,0,Western_Beqaa_District,4-6
40.0,60.0,32.0,18.0,0,Baaouerta,1,0,Aley_District,4-6
48.0,52.0,2.2,25.0,0,Baaqline,1,0,Mount_Lebanon_Governorate,4-6
40.0,60.0,20.0,30.0,0,Baassir,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,15.0,65.0,0,Bab Mareaa,1,0,Western_Beqaa_District,4-6
60.0,40.0,10.0,20.0,0,Baghdadi,1,0,Akkar_Governorate,4-6
60.0,40.0,5.0,40.0,0,Bahbouch,1,0,North_Governorate,4-6
50.0,50.0,3.0,5.0,1,Baisour,0,0,Aley_District,1-3
55.0,45.0,25.0,20.0,0,Baisour Jezzine,1,0,South_Governorate,4-6
49.0,51.0,7.0,50.0,0,Bakhaaoun,1,0,Miniyeha-Danniyeh_District,4-6
55.0,45.0,15.0,40.0,0,Bakka,1,0,Beqaa_Governorate,4-6
60.0,40.0,16.0,39.0,0,Bakkifac Rachaya,1,0,Beqaa_Governorate,4-6
48.0,52.0,30.0,25.0,1,Balloune,0,0,Keserwan_District,1-3
50.0,50.0,30.0,20.0,0,Bane,1,0,Bsharri_District,4-6
49.0,51.0,5.0,15.0,0,Bany haiyane,1,0,Marjeyoun_District,4-6
50.0,50.0,35.0,40.0,0,Barghoun,1,0,North_Governorate,4-6
5.0,95.0,10.0,80.0,0,Barja,1,0,Mount_Lebanon_Governorate,4-6
40.0,60.0,20.0,40.0,0,Barqa,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,20.0,30.0,0,Barr Elias,1,0,Zahle_District,4-6
60.0,40.0,5.0,20.0,0,Barsa,1,0,North_Governorate,4-6
49.0,51.0,20.0,25.0,0,Basateen Aakar,1,0,Akkar_Governorate,4-6
50.0,50.0,30.0,20.0,0,Baskinta,1,0,Matn_District,4-6
50.0,50.0,20.0,30.0,0,Batloun,1,0,Mount_Lebanon_Governorate,4-6
60.0,40.0,20.0,40.0,0,Batoulay,1,0,Tyre_District,4-6
60.0,40.0,40.0,20.0,1,Batroumine,0,0,North_Governorate,1-3
40.0,60.0,30.0,40.0,1,Batroun,0,0,Batroun_District,1-3
50.0,50.0,20.0,30.0,0,Bayzoun,1,0,Byblos_District,4-6
35.0,65.0,14.0,56.0,0,Bazaaoun,1,0,Bsharri_District,4-6
62.0,38.0,5.0,40.0,0,Bazouriyeh,1,0,Tyre_District,4-6
50.0,50.0,30.0,25.0,0,Bcharreh,1,0,Bsharri_District,4-6
52.0,48.0,27.0,25.0,0,Bcheaali,1,0,Batroun_District,4-6
55.0,45.0,35.0,20.0,0,Bchtfine,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,25.0,30.0,0,Bdadoun,1,0,Aley_District,4-6
55.0,45.0,18.0,20.0,0,Bdebba,1,0,North_Governorate,4-6
48.0,52.0,10.0,20.0,0,Bebnine,0,1,Akkar_Governorate,7+
55.0,45.0,60.0,15.0,0,Bechmizzine,1,0,North_Governorate,4-6
56.0,44.0,15.0,30.0,0,Bechouat,1,0,Baalbek-Hermel_Governorate,4-6
40.0,60.0,15.0,20.0,0,Bechtoudar,1,0,Batroun_District,4-6
55.0,45.0,20.0,50.0,0,Beddaoui,1,0,"Tripoli_District,_Lebanon",4-6
40.0,60.0,10.0,60.0,0,Bedghan Oua Ouadi Bedghan,1,0,Aley_District,4-6
53.0,47.0,2.0,15.0,0,Bednayel El-Koura,1,0,North_Governorate,4-6
50.0,50.0,35.0,60.0,0,Behnine,1,0,South_Governorate,4-6
50.0,50.0,25.0,25.0,0,Behouaita,1,0,Miniyeha-Danniyeh_District,4-6
60.0,40.0,20.0,30.0,0,Beino,1,0,Akkar_Governorate,4-6
60.0,40.0,20.0,40.0,0,Beit Ayoub,1,0,Akkar_Governorate,4-6
60.0,40.0,15.0,35.0,0,Beit Chama,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,6.0,20.0,0,Beit Chlala,1,0,Batroun_District,4-6
50.0,50.0,30.0,20.0,0,Beit Ed-Dine,1,0,Mount_Lebanon_Governorate,4-6
60.0,40.0,20.0,30.0,0,Beit El Haj,1,0,Akkar_Governorate,4-6
55.0,45.0,5.0,45.0,0,Beit El-Faqs,1,0,Miniyeha-Danniyeh_District,4-6
50.0,50.0,10.0,20.0,0,Beit El-Haouch,0,1,Akkar_Governorate,7+
52.0,48.0,10.0,50.0,0,Beit El-Kekko,1,0,Matn_District,4-6
60.0,40.0,10.0,40.0,0,Beit Haouik,1,0,Miniyeha-Danniyeh_District,4-6
40.0,60.0,20.0,10.0,0,Beit Hbaq,1,0,Byblos_District,4-6
60.0,40.0,30.0,40.0,0,Beit Lahia,1,0,Beqaa_Governorate,4-6
50.0,50.0,28.0,35.0,0,Beit Lif,0,1,Bint_Jbeil_District,7+
60.0,40.0,20.0,40.0,0,Beit Mellat,1,0,Akkar_Governorate,4-6
55.0,45.0,25.0,35.0,0,Beit Meri,1,0,Matn_District,4-6
50.0,50.0,20.0,15.0,1,Beit Monzer,0,0,Bsharri_District,1-3
35.0,65.0,20.0,35.0,0,Beit Obeid,1,0,Zgharta_District,4-6
60.0,40.0,15.0,40.0,0,Beit Younes,1,0,Akkar_Governorate,4-6
60.0,40.0,15.0,10.0,0,Bejjeh,1,0,Byblos_District,4-6
50.0,50.0,10.0,9.0,0,Bekhaaz,1,0,Byblos_District,4-6
52.0,48.0,40.0,30.0,0,Benouati Jezzine,1,0,South_Governorate,4-6
60.0,40.0,50.0,30.0,0,Bent Jbeil,1,0,Bint_Jbeil_District,4-6
55.0,45.0,12.0,10.0,0,Beqaata Kanaan,1,0,Keserwan_District,4-6
60.0,40.0,5.0,30.0,0,Berbara Aakkar,1,0,Akkar_Governorate,4-6
40.0,60.0,40.0,30.0,0,Berbara Jbeil,1,0,Byblos_District,4-6
48.0,52.0,30.0,30.0,0,Berhalioun,1,0,Bsharri_District,4-6
50.0,50.0,25.0,25.0,0,Beslouqit,1,0,Zgharta_District,4-6
40.0,60.0,60.0,40.0,1,Besri Jezzine,0,0,South_Governorate,1-3
60.0,40.0,20.0,35.0,0,Bezbina,1,0,Akkar_Governorate,4-6
55.0,45.0,40.0,25.0,0,Bhamdoun El-Mhatta,1,0,Aley_District,4-6
55.0,45.0,30.0,20.0,0,Bhersaf,1,0,Matn_District,4-6
60.0,40.0,2.0,25.0,0,Bichtlida,1,0,Byblos_District,4-6
51.0,49.0,12.0,7.0,0,Bijdarfil,1,0,Batroun_District,4-6
55.0,45.0,0.0,0.0,0,Bikfaya,1,0,Matn_District,4-6
60.0,40.0,10.0,20.0,0,Binnay,1,0,Aley_District,4-6
0.0,50.0,20.0,0.0,0,Bintaael,1,0,Byblos_District,4-6
50.0,50.0,20.0,60.0,0,Biret Aakkar,1,0,Akkar_Governorate,4-6
65.0,25.0,10.0,25.0,0,Biret Rachaya,1,0,Beqaa_Governorate,4-6
60.0,40.0,15.0,35.0,0,Bisrin,1,0,Aley_District,4-6
60.0,40.0,10.0,25.0,0,Bissariyeh,1,0,Sidon_District,4-6
60.0,40.0,15.0,25.0,0,Bizhel,1,0,Keserwan_District,4-6
50.0,50.0,35.0,30.0,0,Bkassine,1,0,South_Governorate,4-6
60.0,40.0,30.0,10.0,0,Bkeftine,1,0,North_Governorate,4-6
40.0,60.0,50.0,50.0,0,Bkhichtay,1,0,Aley_District,4-6
30.0,50.0,30.0,20.0,0,Blaouza,1,0,Bsharri_District,4-6
55.0,45.0,10.0,20.0,0,Blat Marjaayoun,1,0,Marjeyoun_District,4-6
52.0,48.0,30.0,35.0,0,Blaybel,1,0,Aley_District,4-6
60.0,40.0,10.0,10.0,0,Blida,1,0,Marjeyoun_District,4-6
55.0,45.0,10.0,10.0,1,Bmahray,0,0,Aley_District,1-3
55.0,45.0,30.0,20.0,0,Bmakine,1,0,Aley_District,4-6
60.0,40.0,30.0,35.0,0,Bmaryam,1,0,Baabda_District,4-6
60.0,40.0,5.0,35.0,1,Bnaafoul,0,0,Sidon_District,1-3
60.0,40.0,7.0,20.0,1,Bnabil,0,0,Matn_District,1-3
60.0,40.0,9.0,11.0,0,Bnehran,1,0,North_Governorate,4-6
51.0,49.0,14.0,8.0,0,Bnoueiti,1,0,Mount_Lebanon_Governorate,4-6
45.0,55.0,10.0,30.0,1,Bohwara,0,0,Aley_District,1-3
55.0,45.0,30.0,35.0,1,Borj Aakkar,0,0,Akkar_Governorate,1-3
50.0,50.0,15.0,25.0,0,Borj El-Moulouk,1,0,Marjeyoun_District,4-6
50.0,50.0,15.0,35.0,0,Borj El-Yahoudiyeh,1,0,Miniyeha-Danniyeh_District,4-6
60.0,40.0,2.0,10.0,1,Borj En-Naqoura,0,0,Tyre_District,1-3
27.0,73.0,18.0,42.0,0,Borj Rahhal,1,0,Tyre_District,4-6
51.0,49.0,30.0,35.0,0,Botmeh,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,30.0,20.0,0,Bouaida,1,0,Marjeyoun_District,4-6
40.0,60.0,20.0,35.0,1,Bouar,0,0,Keserwan_District,1-3
60.0,40.0,10.0,10.0,0,Bouarej,1,0,Zahle_District,4-6
57.0,43.0,5.0,15.0,0,Bourj El Arab,1,0,Akkar_Governorate,4-6
60.0,40.0,30.0,60.0,0,Bourj El-Brajneh,1,0,Baabda_District,4-6
40.0,60.0,30.0,40.0,0,Bourjein,1,0,Mount_Lebanon_Governorate,4-6
49.0,51.0,20.0,8.0,0,Boussit,1,0,Zgharta_District,4-6
52.0,48.0,20.0,30.0,0,Boustane,1,0,Tyre_District,4-6
40.0,60.0,30.0,65.0,0,Boustane Heresh,1,0,Akkar_Governorate,4-6
50.0,50.0,20.0,20.0,1,Bqaa Kafra,0,0,Bsharri_District,1-3
55.0,45.0,10.0,35.0,0,Bqaa Sefrine,1,0,Miniyeha-Danniyeh_District,4-6
25.0,75.0,30.0,70.0,0,Bqaatouta,1,0,Keserwan_District,4-6
0.0,0.0,65.0,0.0,0,Bqarsouna,1,0,Miniyeha-Danniyeh_District,4-6
50.0,50.0,20.0,45.0,0,Bqerqacha,1,0,Bsharri_District,4-6
50.0,50.0,25.0,10.0,0,Bqerzla,1,0,Akkar_Governorate,4-6
49.0,51.0,30.0,35.0,0,Bqosta,1,0,Sidon_District,4-6
51.0,49.0,20.0,30.0,0,Braiqeaa,1,0,Nabatieh_Governorate,4-6
50.0,50.0,20.0,60.0,1,Bramiyeh,0,0,Sidon_District,1-3
60.0,40.0,30.0,15.0,1,Breissat,0,0,Bsharri_District,1-3
40.0,60.0,15.0,20.0,0,Brih,1,0,Mount_Lebanon_Governorate,4-6
53.0,47.0,6.5,18.0,0,Brital,1,0,Baalbek-Hermel_Governorate,4-6
50.0,50.0,5.0,20.0,0,Bsaba Baabda,1,0,Baabda_District,4-6
60.0,40.0,10.0,30.0,0,Bsaba Ech-Chouf,1,0,Mount_Lebanon_Governorate,4-6
50.0,40.0,10.0,40.0,0,Bsalim,1,0,Matn_District,4-6
70.0,30.0,35.0,5.0,0,Bsalya,1,0,South_Governorate,4-6
55.0,45.0,10.0,15.0,1,Bsarma,0,0,North_Governorate,1-3
50.0,50.0,0.0,0.0,0,Bsous,1,0,Aley_District,4-6
55.0,45.0,40.0,20.0,0,Btaaboura,1,0,North_Governorate,4-6
54.0,46.0,60.0,20.0,1,Btalloun,0,0,Aley_District,1-3
50.0,50.0,60.0,80.0,0,Btedaai,1,0,Baalbek-Hermel_Governorate,4-6
50.5,49.5,20.0,12.0,0,Bteghrine,1,0,Matn_District,4-6
55.0,45.0,25.0,20.0,0,Btekhnay,1,0,Baabda_District,4-6
52.0,48.0,9.0,20.0,0,Btermaz,1,0,Miniyeha-Danniyeh_District,4-6
60.0,40.0,20.0,30.0,0,Bterram,1,0,North_Governorate,4-6
50.0,50.0,10.0,25.0,0,Btouratij,1,0,North_Governorate,4-6
40.0,60.0,5.0,25.0,0,Byaqout,1,0,Matn_District,4-6
60.0,40.0,5.0,20.0,0,Bzal,1,0,Akkar_Governorate,4-6
60.0,40.0,30.0,30.0,0,Bziza,1,0,North_Governorate,4-6
55.0,45.0,2.0,4.0,1,Bzoummar,0,0,Keserwan_District,1-3
55.0,45.0,20.0,30.0,0,Chaaitiyeh-Malkiyah,1,0,Tyre_District,4-6
53.0,47.0,25.0,30.0,0,Chadra,1,0,Akkar_Governorate,4-6
55.0,45.0,5.0,35.0,0,Chamaa,0,1,Tyre_District,7+
60.0,40.0,15.0,20.0,1,Chamate,0,0,Byblos_District,1-3
55.0,45.0,10.0,25.0,0,Chane,1,0,Akkar_Governorate,4-6
55.0,45.0,40.0,35.0,0,Chaqdouf,1,0,Akkar_Governorate,4-6
54.0,46.0,10.0,30.0,0,Charbila,1,0,Akkar_Governorate,4-6
60.0,40.0,10.0,20.0,0,Charbine El-Hermel,1,0,Hermel_District,4-6
52.0,48.0,16.0,8.0,0,Charoun,1,0,Aley_District,4-6
50.0,50.0,20.0,50.0,0,Chartoun,1,0,Aley_District,4-6
66.0,15.0,30.0,5.0,0,Chebaa,1,0,Hasbaya_District,4-6
52.0,48.0,10.0,20.0,0,Chehabiyeh,1,0,Tyre_District,4-6
65.0,35.0,7.0,35.0,0,Chehabiyeh Faour,1,0,Zahle_District,4-6
55.0,45.0,25.0,35.0,0,Cheikh Ayash,1,0,Akkar_Governorate,4-6
54.0,46.0,27.0,15.0,0,Cheikh Mohammad,1,0,Akkar_Governorate,4-6
46.0,54.0,20.0,40.0,0,Cheikh Taba,1,0,Akkar_Governorate,4-6
60.0,40.0,10.0,40.0,0,Cheikh Zennad,0,1,Akkar_Governorate,7+
60.0,40.0,25.0,35.0,1,Chhim,0,0,Mount_Lebanon_Governorate,1-3
60.0,40.0,30.0,20.0,1,Chibtine,0,0,Batroun_District,1-3
55.0,45.0,15.0,30.0,0,Chihine,1,0,Tyre_District,4-6
50.0,50.0,50.0,20.0,1,Chimlane,0,0,Aley_District,1-3
50.0,50.0,35.0,65.0,0,Chiyah,1,0,Baabda_District,4-6
50.0,50.0,25.0,40.0,1,Chnanaair,0,0,Keserwan_District,1-3
50.0,50.0,20.0,50.0,0,Choualiq Jezzine,1,0,South_Governorate,4-6
40.0,60.0,10.0,30.0,0,Chouaya Hasbaiya,1,0,Hasbaya_District,4-6
50.0,50.0,7.0,18.0,0,Choueifat El-Aamrousiyeh,1,0,Aley_District,4-6
55.0,45.0,15.0,30.0,0,Chouit,1,0,Baabda_District,4-6
40.0,60.0,25.0,70.0,0,Choukine,1,0,Nabatieh_Governorate,4-6
50.0,50.0,15.0,20.0,0,Chourit,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,10.0,20.0,0,Chtaura,1,0,Zahle_District,4-6
50.0,50.0,10.0,15.0,0,Daghleh,1,0,Akkar_Governorate,4-6
40.0,60.0,20.0,80.0,0,Dahr El-Ahmar,1,0,Beqaa_Governorate,4-6
60.0,40.0,5.0,10.0,0,Dahr El-Qanbar,0,1,Akkar_Governorate,7+
60.0,40.0,10.0,20.0,0,Dahr Es-Souane El-Matn,1,0,Matn_District,4-6
53.0,47.0,35.0,8.0,0,Dahr Laissine,1,0,Akkar_Governorate,4-6
54.0,46.0,7.0,25.0,0,Dalhoun,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,20.0,20.0,1,Damour,0,0,Mount_Lebanon_Governorate,1-3
60.0,40.0,15.0,30.0,0,Daoura,0,1,Akkar_Governorate,7+
55.0,45.0,40.0,30.0,0,Daqqoun,1,0,Aley_District,4-6
50.0,50.0,10.0,50.0,0,Dar Baaechtar,1,0,North_Governorate,4-6
55.0,45.0,45.0,15.0,0,Dar Chmizzine,1,0,North_Governorate,4-6
55.0,45.0,15.0,30.0,0,Daraiya Ech-Chouf,1,0,Mount_Lebanon_Governorate,4-6
60.0,40.0,10.0,30.0,1,Daraiya Kesrouane,0,0,Keserwan_District,1-3
55.0,45.0,40.0,25.0,0,Darb Es-Sim,1,0,Sidon_District,4-6
65.0,35.0,4.0,10.0,0,Darine,1,0,Akkar_Governorate,4-6
19.0,14.0,46.0,19.0,0,Debaal Menie,0,1,Miniyeha-Danniyeh_District,7+
40.0,60.0,30.0,20.0,0,Debl,1,0,Bint_Jbeil_District,4-6
46.0,54.0,24.0,17.0,0,Deddeh,1,0,North_Governorate,4-6
52.0,48.0,14.0,28.0,0,Deir Aames,1,0,Tyre_District,4-6
50.0,50.0,20.0,25.0,0,Deir Aammar,1,0,Miniyeha-Danniyeh_District,4-6
50.0,50.0,20.0,20.0,0,Deir Baba,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,25.0,40.0,0,Deir Billa,1,0,Batroun_District,4-6
50.0,11.33,16.66,5.0,0,Deir Chamra,1,0,Matn_District,4-6
60.0,40.0,10.0,60.0,0,Deir Dalloum,1,0,Akkar_Governorate,4-6
40.0,40.0,4.0,10.0,0,Deir Dourit,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,10.0,65.0,0,Deir El-Aachayer,1,0,Beqaa_Governorate,4-6
50.0,50.0,30.0,30.0,0,Deir El-Ahmar,1,0,Baalbek-Hermel_Governorate,4-6
